paper,year,link,model family,model,param count,notes,affiliations
"K. Meng, D. Bau, A. Andonian, and Y. Belinkov. Locating and editing factual associations in GPT. In
S. Koyejo, S. Mohamed, A. Agarwal, D. Belgrave, K. Cho, and A. Oh (eds.), Advances in Neural
Information Processing Systems, volume 35, pp. 17359–17372. Curran Associates, Inc., 2022. URL
https://proceedings.neurips.cc/paper_files/paper/2022/hash/6f1d43d5a82a37e89b066
5b33bf3a182-Abstract-Conference.html.",2022,https://proceedings.neurips.cc/paper_files/paper/2022/hash/6f1d43d5a82a37e89b0665b33bf3a182-Abstract-Conference.html,,gpt2-xl,1500000000,GPT-2 XL (1.5B parameters),
"K. Yin and G. Neubig. Interpreting language models with contrastive explanations. In Y. Goldberg, Z. Kozareva,
and Y. Zhang (eds.), Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing, pp. 184–198, Abu Dhabi, United Arab Emirates, December 2022. Association for Computational
Linguistics. doi: 10.18653/v1/2022.emnlp-main.14. URL https://aclanthology.org/2022.emnlp-mai
n.14.",2022,https://aclanthology.org/2022.emnlp-main.14,,,2700000000,GPT-2 (1.5B parameters) and GPT-Neo (2.7 B),
"E. Mitchell, C. Lin, A. Bosselut, C. Finn, and C. D. Manning. Fast model editing at scale. In International
Conference on Learning Representations, 2022a. URL https://openreview.net/forum?id=0DcZxeWf
OPt.",2022,https://openreview.net/forum?id=0DcZxeWfOPt,,T5-XXL ,11000000000,"T5-XL (2.8B), GPT-J (6B), GPT-Neo (2.7B), BERT-base (110M), BART-base (139M), distilGPT-2 (82M)",
"T. Dettmers, M. Lewis, Y. Belkada, and L. Zettlemoyer. Gpt3.int8(): 8-bit matrix multiplication for transformers at scale. In S. Koyejo, S. Mohamed, A. Agarwal, D. Belgrave, K. Cho, and A. Oh (eds.), Advances in
Neural Information Processing Systems, volume 35, pp. 30318–30332. Curran Associates, Inc., 2022. URL
https://proceedings.neurips.cc/paper_files/paper/2022/file/c3ba4962c05c49636d4c6206a97
e9c8a-Paper-Conference.pdf.",2022,https://proceedings.neurips.cc/paper_files/paper/2022/file/c3ba4962c05c49636d4c6206a97e9c8a-Paper-Conference.pdf,,OPT175B,175000000000,sort of cheating because this is the tim dettmers LLM.int8() paper where the whole point was that it was possible to quantize big models,
"Y. Elazar, S. Ravfogel, A. Jacovi, and Y. Goldberg. Amnesic probing: Behavioral explanation with amnesic
counterfactuals. Transactions of the Association for Computational Linguistics, 9:160–175, 03 2021. ISSN
2307-387X. doi: 10.1162/tacl_a_00359. URL https://doi.org/10.1162/tacl_a_00359.",2021,https://doi.org/10.1162/tacl_a_00359,,BERT,110000000,,bar illan university
"A. Geiger, H. Lu, T. Icard, and C. Potts. Causal abstractions of neural networks. In M. Ranzato, A. Beygelzimer, Y. Dauphin, P. Liang, and J. W. Vaughan (eds.), Advances in Neural Information Processing Systems,
volume 34, pp. 9574–9586. Curran Associates, Inc., 2021. URL https://proceedings.neurips.cc/pap
er_files/paper/2021/file/4f5c422f4d49a5a807eda27434231040-Paper.pdf.",2021,https://proceedings.neurips.cc/paper_files/paper/2021/file/4f5c422f4d49a5a807eda27434231040-Paper.pdf,,bert,110000000,also studied a bilstm,stanford
"H. Chefer, S. Gur, and L. Wolf. Transformer interpretability beyond attention visualization. In Proceedings of
the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 782–791, June 2021.",2021,https://openaccess.thecvf.com/content/CVPR2021/papers/Chefer_Transformer_Interpretability_Beyond_Attention_Visualization_CVPR_2021_paper.pdf,,BERT-base,110000000,,
"W. Timkey and M. van Schijndel. All bark and no bite: Rogue dimensions in transformer language models
obscure representational quality. In M.-F. Moens, X. Huang, L. Specia, and S. W.-t. Yih (eds.), Proceedings
of the 2021 Conference on Empirical Methods in Natural Language Processing, pp. 4527–4546, Online
and Punta Cana, Dominican Republic, November 2021. Association for Computational Linguistics. doi:
10.18653/v1/2021.emnlp-main.372. URL https://aclanthology.org/2021.emnlp-main.372.",2021,https://aclanthology.org/2021.emnlp-main.372,,GPT2,117000000,"BERT, RoBERTa, GPT-2, XLNet (gpt2, xlnet-base-cased, bert-base-cased, roberta-base)",
"Z. Luo, A. Kulmizev, and X. Mao. Positional artefacts propagate through masked language model embeddings.
In C. Zong, F. Xia, W. Li, and R. Navigli (eds.), Proceedings of the 59th Annual Meeting of the Association
for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing
(Volume 1: Long Papers), pp. 5312–5327, Online, August 2021. Association for Computational Linguistics.
doi: 10.18653/v1/2021.acl-long.413. URL https://aclanthology.org/2021.acl-long.413.",2021,https://aclanthology.org/2021.acl-long.413,,roberta-base,125000000,"BERT-base, RoBERTa-base","Uppsala University, Fuxi AI Lab"
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Incorporating Residual and Normalization Layers into
Analysis of Masked Language Models. In M.-F. Moens, X. Huang, L. Specia, and S. W.-t. Yih (eds.),
Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing, pp. 4547–4568,
Online and Punta Cana, Dominican Republic, November 2021. Association for Computational Linguistics.
doi: 10.18653/v1/2021.emnlp-main.373. URL https://aclanthology.org/2021.emnlp-main.373.",2021,https://aclanthology.org/2021.emnlp-main.373,,roberta-base,125000000,bert-base 110M,
"W. Merrill, V. Ramanujan, Y. Goldberg, R. Schwartz, and N. A. Smith. Effects of parameter norm growth
during transformer training: Inductive bias from gradient descent. In M.-F. Moens, X. Huang, L. Specia,
and S. W.-t. Yih (eds.), Proceedings of the 2021 Conference on Empirical Methods in Natural Language
Processing, pp. 1766–1781, Online and Punta Cana, Dominican Republic, November 2021. Association for
Computational Linguistics. doi: 10.18653/v1/2021.emnlp-main.133. URL https://aclanthology.org
/2021.emnlp-main.133.",2021,https://aclanthology.org/2021.emnlp-main.133,,T5-base,220000000,,
"M. Geva, R. Schuster, J. Berant, and O. Levy. Transformer feed-forward layers are key-value memories. In M.-
F. Moens, X. Huang, L. Specia, and S. W.-t. Yih (eds.), Proceedings of the 2021 Conference on Empirical
Methods in Natural Language Processing, pp. 5484–5495, Online and Punta Cana, Dominican Republic,
November 2021. Association for Computational Linguistics. doi: 10.18653/v1/2021.emnlp-main.446. URL
https://aclanthology.org/2021.emnlp-main.446.",2021,https://aclanthology.org/2021.emnlp-main.446,,,247000000,Adaptive inputs model https://openreview.net/pdf?id=ByxZX20qFQ,
"A. Rogers, O. Kovaleva, and A. Rumshisky. A Primer in BERTology: What We Know About How BERT
Works. Transactions of the Association for Computational Linguistics, 8:842–866, 01 2021. ISSN 2307-
387X. doi: 10.1162/tacl_a_00349. URL https://doi.org/10.1162/tacl_a_00349.",2021,https://doi.org/10.1162/tacl_a_00349,,bert-large-uncased,336000000,,"University of Copenhagen, University of
Massachusetts Lowell"
"T. Bolukbasi, A. Pearce, A. Yuan, A. Coenen, E. Reif, F. Viégas, and M. Wattenberg. An interpretability illusion
for BERT, 2021.",2021,https://arxiv.org/pdf/2104.07143,,BERT,340000000,,
"V. Lal, A. Ma, E. Aflalo, P. Howard, A. Simoes, D. Korat, O. Pereg, G. Singer, and M. Wasserblat. InterpreT: An
interactive visualization tool for interpreting transformers. In D. Gkatzia and D. Seddah (eds.), Proceedings
of the 16th Conference of the European Chapter of the Association for Computational Linguistics: System
Demonstrations, pp. 135–142, Online, April 2021. Association for Computational Linguistics. doi: 10.186
53/v1/2021.eacl-demos.17. URL https://aclanthology.org/2021.eacl-demos.17.",2021,https://aclanthology.org/2021.eacl-demos.17,,BERT,340000000,,
"S. Sanyal and X. Ren. Discretized integrated gradients for explaining language models. In M.-F. Moens,
X. Huang, L. Specia, and S. W.-t. Yih (eds.), Proceedings of the 2021 Conference on Empirical Methods in
Natural Language Processing, pp. 10285–10299, Online and Punta Cana, Dominican Republic, November
2021. Association for Computational Linguistics. doi: 10.18653/v1/2021.emnlp-main.805. URL https:
//aclanthology.org/2021.emnlp-main.805.",2021,https://aclanthology.org/2021.emnlp-main.805,,RoBERTa,354000000,"they use BERT (3.4E8) DistilBERT (6.6E7), and RoBERTa (3.54E8)",
"O. Kovaleva, S. Kulshreshtha, A. Rogers, and A. Rumshisky. BERT busters: Outlier dimensions that disrupt
transformers. In C. Zong, F. Xia, W. Li, and R. Navigli (eds.), Findings of the Association for Computational
Linguistics: ACL-IJCNLP 2021, pp. 3392–3405, Online, August 2021. Association for Computational Linguistics. doi: 10.18653/v1/2021.findings-acl.300. URL https://aclanthology.org/2021.findings-a
cl.300.",2021,https://aclanthology.org/2021.findings-acl.300,,,770000000,"ELECTRA, XLNet, BART, GPT2",
"R. Nogueira, Z. Jiang, and J. Lin. Investigating the limitations of transformers with simple arithmetic tasks,
2021.",2021,,,,770000000,T5 modles (except 11B),
"N. De Cao, W. Aziz, and I. Titov. Editing factual knowledge in language models. In M.-F. Moens,
X. Huang, L. Specia, and S. W.-t. Yih (eds.), Proceedings of the 2021 Conference on Empirical Methods
in Natural Language Processing, pp. 6491–6506, Online and Punta Cana, Dominican Republic, November 2021. Association for Computational Linguistics. doi: 10.18653/v1/2021.emnlp-main.522. URL
https://aclanthology.org/2021.emnlp-main.522.",2021,https://aclanthology.org/2021.emnlp-main.522,,,558000000000,"BERT (fintuned), BART base",
"X. Han, B. C. Wallace, and Y. Tsvetkov. Explaining black box predictions and unveiling data artifacts
through influence functions. In D. Jurafsky, J. Chai, N. Schluter, and J. Tetreault (eds.), Proceedings
of the 58th Annual Meeting of the Association for Computational Linguistics, pp. 5553–5563, Online,
July 2020. Association for Computational Linguistics. doi: 10.18653/v1/2020.acl-main.492. URL
https://aclanthology.org/2020.acl-main.492.",2020,https://aclanthology.org/2020.acl-main.492,,BERT-base,110000000,,
"A. Geiger, K. Richardson, and C. Potts. Neural natural language inference models partially embed theories
of lexical entailment and negation. In A. Alishahi, Y. Belinkov, G. Chrupała, D. Hupkes, Y. Pinter, and
H. Sajjad (eds.), Proceedings of the Third BlackboxNLP Workshop on Analyzing and Interpreting Neural
Networks for NLP, pp. 163–173, Online, November 2020. Association for Computational Linguistics. doi:
10.18653/v1/2020.blackboxnlp-1.16. URL https://aclanthology.org/2020.blackboxnlp-1.16.",2020,https://aclanthology.org/2020.blackboxnlp-1.16,,bert,110000000,also studied a bilstm and esim,"stanford, allen institute of ai"
"G. Brunner, Y. Liu, D. Pascual, O. Richter, M. Ciaramita, and R. Wattenhofer. On identifiability in transformers.
In International Conference on Learning Representations, 2020. URL https://openreview.net/forum
?id=BJg1f6EFDB.",2020,https://openreview.net/forum?id=BJg1f6EFDB,,BERT,110000000,,
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Attention is not only a weight: Analyzing transformers
with vector norms. In B. Webber, T. Cohn, Y. He, and Y. Liu (eds.), Proceedings of the 2020 Conference
on Empirical Methods in Natural Language Processing (EMNLP), pp. 7057–7075, Online, November 2020.
Association for Computational Linguistics. doi: 10.18653/v1/2020.emnlp-main.574. URL https:
//aclanthology.org/2020.emnlp-main.574.",2020,https://aclanthology.org/2020.emnlp-main.574,,BERT-base,110000000,,
"P. Atanasova, J. G. Simonsen, C. Lioma, and I. Augenstein. A diagnostic study of explainability techniques
for text classification. In B. Webber, T. Cohn, Y. He, and Y. Liu (eds.), Proceedings of the 2020 Conference
on Empirical Methods in Natural Language Processing (EMNLP), pp. 3256–3274, Online, November 2020.
Association for Computational Linguistics. doi: 10.18653/v1/2020.emnlp-main.263. URL https:
//aclanthology.org/2020.emnlp-main.263.",2020,https://aclanthology.org/2020.emnlp-main.263,,,110000000,"CNN, BERT, Transformer, LSTM",
"J. DeYoung, S. Jain, N. F. Rajani, E. Lehman, C. Xiong, R. Socher, and B. C. Wallace. ERASER: A benchmark
to evaluate rationalized NLP models. In D. Jurafsky, J. Chai, N. Schluter, and J. Tetreault (eds.), Proceedings
of the 58th Annual Meeting of the Association for Computational Linguistics, pp. 4443–4458, Online, July
2020. Association for Computational Linguistics. doi: 10.18653/v1/2020.acl-main.408. URL https:
//aclanthology.org/2020.acl-main.408.",2020,https://aclanthology.org/2020.acl-main.408,,bert-base,120000000,,
"nostalgebraist. Interpreting GPT: the logit lens. AI Alignment Forum, 2020. URL https://www.alignmentf
orum.org/posts/AcKRB8wDpdaN6v6ru/interpreting-gpt-the-logit-lens.",2020,https://www.alignmentforum.org/posts/AcKRB8wDpdaN6v6ru/interpreting-gpt-the-logit-lens,,,125000000,Gpt2,
"B. Hoover, H. Strobelt, and S. Gehrmann. exBERT: A Visual Analysis Tool to Explore Learned Representations
in Transformer Models. In A. Celikyilmaz and T.-H. Wen (eds.), Proceedings of the 58th Annual Meeting
of the Association for Computational Linguistics: System Demonstrations, pp. 187–196, Online, July 2020.
Association for Computational Linguistics. doi: 10.18653/v1/2020.acl-demos.22. URL https://aclant
hology.org/2020.acl-demos.22.",2020,https://aclanthology.org/2020.acl-demos.22,,gpt-2,137000000,BERT,"IBM Research, IBM Research, Harvard SEAS"
"T. Pimentel, J. Valvoda, R. H. Maudslay, R. Zmigrod, A. Williams, and R. Cotterell. Information-theoretic
probing for linguistic structure. In D. Jurafsky, J. Chai, N. Schluter, and J. Tetreault (eds.), Proceedings
of the 58th Annual Meeting of the Association for Computational Linguistics, pp. 4609–4622, Online, July
2020. Association for Computational Linguistics. doi: 10.18653/v1/2020.acl-main.420. URL https:
//aclanthology.org/2020.acl-main.420.",2020,https://aclanthology.org/2020.acl-main.420,,BERT,340000000,also used fastText and one-hot encoding vectors,
"N. De Cao, M. S. Schlichtkrull, W. Aziz, and I. Titov. How do decisions emerge across layers in neural models?
interpretation with differentiable masking. In B. Webber, T. Cohn, Y. He, and Y. Liu (eds.), Proceedings of
the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP), pp. 3243–3255,
Online, November 2020. Association for Computational Linguistics. doi: 10.18653/v1/2020.emnlp-main.
262. URL https://aclanthology.org/2020.emnlp-main.262.",2020,https://aclanthology.org/2020.emnlp-main.262,,,340000000,"BERT-based, BERTLarge",
"X. Suau, L. Zappella, and N. Apostoloff. Finding experts in transformer models, 2020.",2020,https://arxiv.org/abs/2005.07647,,GPT2-L,774000000,"RoBERTa-L, Distilbert, XLM, Bert-B, GPT2-S, Bert-L, GPT2-M",
"J. Vig, S. Gehrmann, Y. Belinkov, S. Qian, D. Nevo, Y. Singer, and S. Shieber. Investigating gender bias in
language models using causal mediation analysis. In H. Larochelle, M. Ranzato, R. Hadsell, M. Balcan, and
H. Lin (eds.), Advances in Neural Information Processing Systems, volume 33, pp. 12388–12401. Curran
Associates, Inc., 2020. URL https://proceedings.neurips.cc/paper/2020/hash/92650b2e9221771
5fe312e6fa7b90d82-Abstract.html.",2020,https://proceedings.neurips.cc/paper/2020/hash/92650b2e92217715fe312e6fa7b90d82-Abstract.html,,gpt2-xl,1500000000,"gpt2 small, medium, large, extra-large",
"E. Voita and I. Titov. Information-theoretic probing with minimum description length. In B. Webber, T. Cohn,
Y. He, and Y. Liu (eds.), Proceedings of the 2020 Conference on Empirical Methods in Natural Language
Processing (EMNLP), pp. 183–196, Online, November 2020. Association for Computational Linguistics.
doi: 10.18653/v1/2020.emnlp-main.14. URL https://aclanthology.org/2020.emnlp-main.14.",2020,https://aclanthology.org/2020.emnlp-main.14,,ELMo,5500000000,,
"K. Clark, U. Khandelwal, O. Levy, and C. D. Manning. What does BERT look at? an analysis of BERT’s
attention. In T. Linzen, G. Chrupała, Y. Belinkov, and D. Hupkes (eds.), Proceedings of the 2019 ACL
Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP, pp. 276–286, Florence,
Italy, August 2019. Association for Computational Linguistics. doi: 10.18653/v1/W19-4828. URL https:
//aclanthology.org/W19-4828.",2019,https://aclanthology.org/W19-4828,,bert-base,110000000,,
"O. Kovaleva, A. Romanov, A. Rogers, and A. Rumshisky. Revealing the dark secrets of BERT. In K. Inui,
J. Jiang, V. Ng, and X. Wan (eds.), Proceedings of the 2019 Conference on Empirical Methods in Natural
Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLPIJCNLP), pp. 4365–4374, Hong Kong, China, November 2019. Association for Computational Linguistics.
doi: 10.18653/v1/D19-1445. URL https://aclanthology.org/D19-1445.",2019,https://aclanthology.org/D19-1445,,,110000000,BERT,
"P. M. Htut, J. Phang, S. Bordia, and S. R. Bowman. Do attention heads in bert track syntactic dependencies?
Arxiv, 2019. URL https://arxiv.org/abs/1911.12246.",2019,https://arxiv.org/abs/1911.12246,,,110000000,"BERT, Roborta",
"P. Michel, O. Levy, and G. Neubig. Are sixteen heads really better than one? In H. Wallach, H. Larochelle,
A. Beygelzimer, F. d'Alché-Buc, E. Fox, and R. Garnett (eds.), Advances in Neural Information Processing
Systems, volume 32. Curran Associates, Inc., 2019. URL https://proceedings.neurips.cc/paper_fil
es/paper/2019/file/2c601ad9d2ff9bc8b282670cdd54f69f-Paper.pdf.",2019,https://proceedings.neurips.cc/paper_files/paper/2019/file/2c601ad9d2ff9bc8b282670cdd54f69f-Paper.pdf,,,110000000,BERT,
"I. Tenney, P. Xia, B. Chen, A. Wang, A. Poliak, R. T. McCoy, N. Kim, B. V. Durme, S. Bowman, D. Das,
and E. Pavlick. What do you learn from context? probing for sentence structure in contextualized word
representations. In International Conference on Learning Representations, 2019b. URL https://openre
view.net/forum?id=SJzSgnRcKX.",2019,https://openreview.net/forum?id=SJzSgnRcKX,,gpt2-small,124000000,"CoVe, ELMo, GPT, and BERT",
"J. Vig. A multiscale visualization of attention in the transformer model. In M. R. Costa-jussà and E. Alfonseca
(eds.), Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics: System
Demonstrations, pp. 37–42, Florence, Italy, July 2019. Association for Computational Linguistics. doi:
10.18653/v1/P19-3007. URL https://aclanthology.org/P19-3007.",2019,https://aclanthology.org/P19-3007,,gpt2-small,124000000,bert-base,
"K. Ethayarajh. How contextual are contextualized word representations? Comparing the geometry of BERT,
ELMo, and GPT-2 embeddings. In K. Inui, J. Jiang, V. Ng, and X. Wan (eds.), Proceedings of the
2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint
Conference on Natural Language Processing (EMNLP-IJCNLP), pp. 55–65, Hong Kong, China, November 2019. Association for Computational Linguistics. doi: 10.18653/v1/D19- 1006. URL https:
//aclanthology.org/D19-1006.",2019,https://aclanthology.org/D19-1006,,gpt2-small,124000000,"BERT, ELMo, and GPT-2",
"J. Hewitt and P. Liang. Designing and interpreting probes with control tasks. In K. Inui, J. Jiang, V. Ng, and
X. Wan (eds.), Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing
and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP), pp. 2733–
2743, Hong Kong, China, November 2019. Association for Computational Linguistics. doi: 10.18653/v1/
D19-1275. URL https://aclanthology.org/D19-1275.",2019,https://aclanthology.org/D19-1275,,elmo,130000000,,
"T. McCoy, E. Pavlick, and T. Linzen. Right for the wrong reasons: Diagnosing syntactic heuristics in natural
language inference. In A. Korhonen, D. Traum, and L. Màrquez (eds.), Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics, pp. 3428–3448, Florence, Italy, July 2019. Association
for Computational Linguistics. doi: 10.18653/v1/P19-1334. URL https://aclanthology.org/P19-1334.",2019,https://aclanthology.org/P19-1334,,BERT,340000000,"used BERT, ESIM, SPINN, and DA. BERT is the only transformer. ESIM is an RNN, SPINN is a TreeRNN, DA is a bag-of-words.",
"Y. Lin, Y. C. Tan, and R. Frank. Open sesame: Getting inside BERT’s linguistic knowledge. In T. Linzen,
G. Chrupała, Y. Belinkov, and D. Hupkes (eds.), Proceedings of the 2019 ACL Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP, pp. 241–253, Florence, Italy, August 2019. Association for
Computational Linguistics. doi: 10.18653/v1/W19-4825. URL https://aclanthology.org/W19-4825.",2019,https://aclanthology.org/W19-4825,,BERT,340000000,notes,yale
"I. Tenney, D. Das, and E. Pavlick. BERT rediscovers the classical NLP pipeline. In A. Korhonen, D. Traum, and
L. Màrquez (eds.), Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,
pp. 4593–4601, Florence, Italy, July 2019a. Association for Computational Linguistics. doi: 10.18653/v1/
P19-1452. URL https://aclanthology.org/P19-1452.",2019,https://aclanthology.org/P19-1452,,BERT-LARGE,340000000,,
"J. Hewitt and C. D. Manning. A structural probe for finding syntax in word representations. In J. Burstein,
C. Doran, and T. Solorio (eds.), Proceedings of the 2019 Conference of the North American Chapter of
the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short
Papers), pp. 4129–4138, Minneapolis, Minnesota, June 2019. Association for Computational Linguistics.
doi: 10.18653/v1/N19-1419. URL https://aclanthology.org/N19-1419.",2019,https://aclanthology.org/N19-1419,,bert-large,340000000,"bert-base (110M9, elmo-base (130M)",
"N. F. Liu, M. Gardner, Y. Belinkov, M. E. Peters, and N. A. Smith. Linguistic knowledge and transferability of contextual representations. In J. Burstein, C. Doran, and T. Solorio (eds.), Proceedings of
the 2019 Conference of the North American Chapter of the Association for Computational Linguistics:
Human Language Technologies, Volume 1 (Long and Short Papers), pp. 1073–1094, Minneapolis, Minnesota, June 2019. Association for Computational Linguistics. doi: 10.18653/v1/N19-1112. URL
https://aclanthology.org/N19-1112.",2019,https://aclanthology.org/N19-1112,,,340000000,"BERT (based, large) ELMO, gpt2",
